country,drinking_access
Somalia,31.7
Papua New Guinea,40.0
Equatorial Guinea,47.9
Angola,49.0
Chad,50.8
Mozambique,51.1
Madagascar,51.5
Democratic Republic of the Congo,52.4
Yemen,54.9
Afghanistan,55.3
Sudan,55.5
United Republic of Tanzania,55.6
Ethiopia,57.3
Haiti,57.7
Eritrea,57.8
Mauritania,57.9
Niger,58.2
Occupied Palestinian Territory,58.4
South Sudan,58.7
Turkmenistan,60.4
