country,dependency,tot_renew,renew_pc
Iceland,0,170,516090
Guyana,0.1107,271,353279
Suriname,0,99,182320
Congo,0.7332,832,180087
Papua New Guinea,0,801,105132
Bhutan,0,78,100671
Gabon,0.01205,166,96232
Canada,0.01792,2902,80746
Solomon Islands,0,44.7,76594
Norway,0.02799,393,75417
New Zealand,0,327,72201
Belize,0.2979,21.73,60479
Peru,0.127,1880,59916
Paraguay,0.6983,387.8,58412
Bolivia,0.4713,574,53520
